Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Ridgeback,Mungari,J04814,Undeveloped,Deposit,33488,0.48,2.17,0,0,0.0,Resource,Inferred,31/12/2015,31.3,16,235.7,185.9,-30.601735,121.030306,Evolution Mining Limited,Evolution Mining Limited (100.00%),1,3
CKGM Dumps,Bullabulling,J00033,Shut,Mine,33041,1.247,0.82,0,0,0.0,Resource,Inferred,04/03/2004,12.2,15,212.3,141.5,-30.983894,120.89687,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,2,2
Sunraysia,Davyhurst,J00084,Proposed,Mine,32263,0.493,2.04,0,0,0.0,Resource,"Indicated, Inferred",13/02/2013,9.1,30,245.1,267.7,-29.801533,120.570274,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,4
Lady Charlotte,Coolgardie,J00014,Undeveloped,Deposit,31861,0.78,1.27,0,0,0.0,Resource,Inferred,01/12/2023,15.0,15,238.9,151.1,-30.983626,121.17987,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,3
Blacksnake,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,31768,0.138,7.16,0,0,0.0,Resource,Inferred,31/12/1999,34.8,77,87.9,113.7,-31.532886,119.585009,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
TNT - Pernatty North,South Kalgoorlie Operations,J00276,Shut,Mine,31552,0.567,1.73,0,0,0.0,Resource,"Indicated, Inferred",30/06/2015,45.6,25,278.2,171.0,-30.995553,121.598788,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,10
Kanowna Star N,Bardoc Gold,J01436,Undeveloped,Deposit,31440,0.716,1.37,0,0,0.0,Resource,"Indicated, Inferred",30/09/2020,43.2,25,287.4,217.6,-30.474214,121.550311,Newcrest Mining Limited,Newcrest Mining Limited; Dalla-Costa Melville Raymond; WORLD REACH LIMITED; Genesis Minerals Ltd (100.00%); GPM Resources Pty Ltd (Royalties%); Strategic Projects Mining Pty Ltd (Royalties%),2,4
Fingals E 1,Kal East,J02818,Shut,Mine,31337,0.59,1.65,0,0,0.0,Resource,"Indicated, Inferred",31/05/2021,30.6,25,306.9,191.9,-30.968397,121.898112,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),2,3
Cannon OP,South Kalgoorlie Operations,J00276,Proposed,Mine,31274,0.393,2.48,2600,0.011,7.24,Resource,"Indicated, Inferred, Measured",30/06/2017,20.3,25,297.0,196.5,-30.815329,121.763791,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,4
Merriyulah,Menzies,J01011,Proposed,Mine,30479,0.9,1.05,0,0,0.0,Resource,"Indicated, Inferred",19/05/2025,12.8,29,285.0,282.2,-29.713649,121.030913,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,2,4
Callion,Davyhurst,J00084,Proposed,Mine,30109,0.269,3.48,0,0,0.0,Resource,"Indicated, Inferred",15/05/2020,29.7,30,223.4,232.7,-30.117139,120.582916,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,8
Natal 3 and 4,Paddington - Mt Pleasant,J00292,Shut,Mine,30055,0.38,2.46,0,0,0.0,Resource,Inferred,30/06/2009,46.8,15,253.6,193.5,-30.584406,121.22111,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",1,1
Main Lode,Burbanks,J00069,Operating,Mine,29931,0.36,2.59,0,0,0.0,Resource,"Indicated, Inferred",30/10/2018,12.7,15,234.4,145.4,-31.024473,121.139869,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Kidman Resources Limited (Royalties%); Horizon Minerals Limited (100.00%),2,2
Zeus,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,29705,0.469,1.97,0,0,0.0,Resource,Inferred,25/07/2016,38.0,77,87.0,112.8,-31.569622,119.561115,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,2
Ben Hur 1,Binduli,J00019,Shut,Mine,29659,0.615,1.5,0,0,0.0,Resource,"Indicated, Inferred",30/06/2004,39.1,15,263.0,174.6,-30.846727,121.407511,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),2,4
Golden Hope N,South Kalgoorlie Operations,J00276,Shut,Mine,29579,0.4,2.3,29579,0.4,2.3,Reserve,Probable,31/07/1996,48.9,25,279.1,167.5,-31.046467,121.615908,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,1
Alicia,Coolgardie,J00014,Operating,Mine,29469,0.67,1.37,0,0,0.0,Resource,"Indicated, Inferred",31/12/2024,14.4,15,238.1,150.3,-30.988536,121.172631,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,3,12
Peyes Farm,Teal - Peyes Farm,J01699,Undeveloped,Deposit,28965,0.53,1.7,0,0,0.0,Resource,"Indicated, Inferred",24/10/2018,45.9,15,264.9,188.3,-30.697108,121.385813,Horizon Minerals Limited,Horizon Minerals Limited (100.00%),2,6
Italia,Aldiss - Karonie,J00184,Undeveloped,Deposit,28293,0.55,1.6,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,13.9,28,369.1,226.4,-31.216996,122.58031,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,2,7
Monument,Bulong South,J03557,Undeveloped,Deposit,28074,0.74,1.18,0,0,0.0,Resource,Indicated,25/07/2024,21.5,25,296.0,195.4,-30.820796,121.753456,Horizon Minerals Limited,Haoma Mining NL (Royalties%); Horizon Minerals Limited (100.00%); Aurenne Group Proprietry Limited,1,2
Salmon Gums,Davyhurst,J00084,Proposed,Mine,27984,0.307,2.84,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,38.9,30,224.7,225.7,-30.183688,120.654513,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,13
Noble 6,South Kalgoorlie Operations,J00276,Proposed,Mine,27693,0.462,1.86,0,0,0.0,Resource,"Indicated, Inferred",30/06/2017,20.6,15,243.5,150.5,-31.013107,121.233912,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,8
Federal Flag,Davyhurst,J00084,Proposed,Mine,27669,0.382,2.25,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2021,33.8,30,227.2,230.9,-30.13599,120.647545,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",3,13
Patricia Jean,Coolgardie,J00014,Shut,Mine,27209,0.39,2.17,0,0,0.0,Resource,Inferred,24/05/2022,14.9,15,238.9,157.9,-30.909996,121.164331,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,1
Resolution,South Kalgoorlie Operations,J00276,Shut,Mine,27129,0.446,1.89,0,0,0.0,Resource,Inferred,30/06/2016,47.4,25,281.1,169.1,-31.042801,121.636795,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,2
Sleeping Beauty,Ora Banda,J04664,Shut,Mine,27110,0.62,1.36,0,0,0.0,Resource,Inferred,31/12/2014,45.3,16,247.3,211.0,-30.372397,121.049709,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Zijin Mining Group; Paddington Gold Pty LIMIted,1,2
Hammer and Tap,Kal East,J02818,Undeveloped,Deposit,27007,0.35,2.4,0,0,0.0,Resource,Inferred,10/07/2020,31.6,25,301.2,188.0,-30.968617,121.838511,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),1,4
Neves,Lindsays,J01525,Undeveloped,Deposit,26828,0.529,1.58,0,0,0.0,Resource,"Indicated, Inferred",20/07/2015,45.8,25,305.5,237.7,-30.333782,121.690813,Nu-Fortune Gold Ltd,Nu-Fortune Gold Ltd; Auric Mining Limited; Top Global Mining Pty Ltd (Royalties%); NBC Mining Pty Ltd (Royalties%); Lmg (WA) Pty Ltd,2,12
Wookie,Mungari,J04814,Proposed,Mine,26794,0.463,1.8,0,0,0.0,Resource,"Indicated, Inferred",28/02/2013,31.3,16,235.4,183.9,-30.621073,121.034144,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,2
Wombola Dam,Kal East,J02818,Care and Maintenance,Mine,26621,0.297,2.79,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2015,35.7,25,299.3,184.2,-31.003427,121.823266,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),3,18
Jenny Wren,Jenny Wren,J02196,Shut,Mine,26524,0.066,12.5,26524,0.066,12.5,Reserve,Probable,30/05/1997,25.0,15,238.9,171.8,-30.760896,121.123408,Evolution Mining Limited,Evolution Mining Limited (100.00%); Evolution Mining (Phoenix) Pty Limited,1,1
New Celebration,South Kalgoorlie Operations,J00276,Shut,Infrastructure,26364,1.08,0.76,19837,0.79,0.78,Resource,"Indicated, Inferred, Measured",30/06/2001,47.2,25,278.8,169.3,-31.021468,121.60921,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,7
Norris,Coolgardie,J00014,Shut,Mine,26303,0.193,4.24,0,0,0.0,Resource,Inferred,29/09/1995,10.2,15,225.5,138.5,-31.058016,121.050857,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,2,2
Spring Hill,Parker Range - Olga Rocks,J01053,Undeveloped,Deposit,26151,0.407,2.0,0,0,0.0,Resource,"Indicated, Inferred",30/09/2010,48.3,77,92.2,105.5,-31.662046,119.575609,CERRO RESOURCES PTY LTD,CERRO RESOURCES PTY LTD (30.00%); Gondwana Resources Ltd (70.00%); Aurenne Group Proprietry Limited; Aurenne Parker Range Pty Ltd,2,3
Newhaven,Phillips Find,J01338,Operating,Mine,26084,0.272,2.98,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/1995,25.0,16,229.5,183.1,-30.612844,120.965996,Blue Tiger Mines Pty Ltd,"Blue Tiger Mines Pty Ltd; Royal Gold, Inc. (Royalties%); Horizon Minerals Limited (100.00%); Bml Ventures Pty Ltd",3,3
Lindsays Southern Ext,Lindsays,J01525,Undeveloped,Deposit,25547,0.353,2.25,0,0,0.0,Resource,"Indicated, Inferred",18/09/2002,45.5,25,305.9,237.9,-30.334093,121.69581,Nu-Fortune Gold Ltd,Nu-Fortune Gold Ltd; Auric Mining Limited; Top Global Mining Pty Ltd (Royalties%); NBC Mining Pty Ltd (Royalties%); Lmg (WA) Pty Ltd,2,2
Red Dale,Eastern Lefroy,J05221,Undeveloped,Deposit,25476,0.67,1.18,0,0,0.0,Resource,"Indicated, Inferred",03/06/2020,45.5,25,316.9,190.7,-31.094055,122.021327,Lefroy Exploration Limited,Lefroy Exploration Limited (100.00%); Monger Exploration Pty Ltd; Bml Ventures Pty Ltd,2,4
TSF1,Marvel Loch - Southern Cross,J00226,Shut,Infrastructure,25463,0.99,0.8,0,0,0.0,Resource,Indicated,31/01/1993,12.0,77,60.5,153.6,-31.241216,119.330309,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Nefertiti,Binduli,J00019,Undeveloped,Deposit,25438,0.86,0.92,0,0,0.0,Resource,Inferred,31/12/2014,38.6,15,262.7,173.2,-30.862296,121.408312,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),1,1
Taurus,Bulong - Taurus Eluvials,J00037,Undeveloped,Deposit,25399,0.5,1.58,0,0,0.0,Resource,Inferred,29/07/1993,7.9,25,306.9,209.7,-30.718107,121.844813,Manor Resources NL,Manor Resources NL (100.00%),1,1
TSF,Aldiss - Karonie,J00184,Shut,Infrastructure,24832,1.355,0.57,0,0,0.0,Resource,Inferred,30/06/2000,31.3,28,367.6,234.5,-31.038328,122.549807,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,1,1
British Lion,Davyhurst,J00084,Undeveloped,Deposit,24801,0.442,1.75,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,12.9,30,248.3,272.7,-29.757217,120.5665,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",4,4
New Zealand Gully,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,24179,0.11,6.84,0,0,0.0,Resource,"Indicated, Inferred",25/07/2016,14.0,77,58.5,154.7,-31.244287,119.309795,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,2
Rogan Josh,Feysville,J03724,Undeveloped,Deposit,24113,0.6,1.25,0,0,0.0,Resource,"Indicated, Inferred",31/10/2024,39.7,25,280.1,177.6,-30.925693,121.606941,Astral Resources NL,BHP Group Limited (Royalties%); Astral Resources NL (100.00%); Feysville Gold Pty Ltd; Mineral Mining Services Pty Ltd,2,3
Lizard,Lady Ida,J06689,Shut,Mine,23724,0.194,3.8,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2021,11.2,16,207.8,184.9,-30.554277,120.693308,Beacon Minerals Limited,Beacon Minerals Limited; Beacon Mining Pty Ltd; Lamerton Pty Ltd (100.00%); Geoda Pty Ltd,3,21
Samphire,South Kalgoorlie Operations,J00276,Shut,Mine,23663,0.46,1.6,0,0,0.0,Resource,Indicated,03/07/2006,49.7,15,270.8,160.4,-31.070695,121.531611,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,3
Goongarrie Lady,Goongarrie Lady,J04956,Operating,Mine,23586,0.31,2.37,0,0,0.0,Resource,"Indicated, Inferred",28/06/2018,30.8,29,273.9,245.6,-30.081341,121.184491,Resource Mining Corporation Ltd,Brightstar Resources Limited (Royalties%); Resource Mining Corporation Ltd (100.00%),2,10
Newcrest S,Kurnalpi,J03802,Undeveloped,Deposit,23554,0.407,1.8,0,0,0.0,Resource,Inferred,24/10/2018,33.0,25,346.8,247.1,-30.553653,122.227365,Kurnalpi Gold Pty Ltd,Kurnalpi Gold Pty Ltd (100.00%),1,1
QED,Kanowna -Golden Valley,J00181,Shut,Mine,23149,0.225,3.2,0,0,0.0,Resource,Measured,30/06/1993,34.1,25,288.5,210.6,-30.568181,121.598152,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),1,1
Baden Powell,Baden Powell,J05474,Shut,Mine,22956,0.595,1.2,0,0,0.0,Resource,Inferred,28/09/2022,48.6,29,268.8,229.8,-30.239138,121.222793,Black Mountain Gold Limited,Black Mountain Gold Limited; Horizon Minerals Limited (100.00%); Dundas Minerals Limited,1,3
Tycho,Coolgardie - MacPhersons,J00229,Operating,Mine,22703,0.669,1.06,17345,0.499,1.08,Resource,"Indicated, Inferred, Measured",30/06/2025,17.5,15,240.1,148.6,-31.016562,121.198854,Beacon Minerals Limited,Beacon Minerals Limited (100.00%); MacPhersons Reward Pty Ltd; China Hanking Holdings Limited; Hanking Australia Investment Pty Ltd; Forrestania Resources Limited,3,26
Fort Scott,Binduli,J00019,Proposed,Mine,22679,0.53,1.33,11960,0.274,1.36,Resource,"Indicated, Inferred",31/12/2014,39.8,15,261.9,179.7,-30.781133,121.378422,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),2,7
Burbidge-Great Victoria,Marvel Loch - Southern Cross,J00226,Operating,Mine,22617,0.409,1.72,0,0,0.0,Resource,Indicated,18/02/1991,35.7,77,87.2,113.7,-31.544265,119.57371,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Happy Jack,Coolgardie,J00014,Proposed,Mine,22596,0.525,1.34,0,0,0.0,Resource,"Indicated, Inferred",21/05/2021,14.4,15,238.6,152.1,-30.971116,121.175024,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,2,10
Palmerston-Camperdown,Davyhurst,J00084,Care and Maintenance,Mine,22152,0.292,2.36,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,45.1,29,248.4,227.0,-30.207146,120.962192,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,10
Peaceful Chief,South Kalgoorlie Operations,J00276,Shut,Mine,22049,0.348,1.97,0,0,0.0,Resource,"Indicated, Inferred",30/06/2016,47.0,25,278.4,169.5,-31.015428,121.603857,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,6
Bacchus Gift,Phillips Find,J01338,Shut,Mine,21907,0.113,6.03,21907,0.113,6.03,Reserve,Probable,01/09/1998,24.9,16,229.4,183.3,-30.610335,120.963828,Blue Tiger Mines Pty Ltd,"Blue Tiger Mines Pty Ltd; Royal Gold, Inc. (Royalties%); Horizon Minerals Limited (100.00%); Bml Ventures Pty Ltd",1,1
Tamarin,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,21859,0.478,1.42,0,0,0.0,Resource,"Indicated, Inferred",25/07/2016,39.1,77,74.1,123.4,-31.588713,119.405111,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,4
Sand Queen,Comet Vale -Queen,J00066,Care and Maintenance,Mine,21734,0.064,10.56,0,0,0.0,Resource,"Indicated, Inferred",30/06/2006,15.9,29,276.9,257.8,-29.955637,121.130639,GBF Mining Pty Ltd,Neometals Ltd (Royalties%); GBF Mining Pty Ltd; Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd,2,4
East Sampson Dam,East Sampson,J03021,Undeveloped,Deposit,21596,0.265,2.54,0,0,0.0,Resource,"Indicated, Inferred",20/07/2021,47.4,25,293.8,227.9,-30.38414,121.582975,Mineral Mining Services Pty Ltd,Mithril Silver and Gold Limited (Royalties%); Mineral Mining Services Pty Ltd (100.00%),2,2
Magic UG,Randalls - Mt Monger,J00251,Care and Maintenance,Mine,21412,0.075,8.88,21412,0.075,8.88,Reserve,Probable,23/06/1994,38.1,25,309.7,189.3,-31.036167,121.93841,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,1,1
Coote,Teal - Peyes Farm,J01699,Undeveloped,Deposit,21033,0.425,1.54,0,0,0.0,Resource,Inferred,28/09/2022,40.4,15,261.9,181.2,-30.763544,121.372825,Horizon Minerals Limited,Horizon Minerals Limited (100.00%),1,1
Parmelia,Karonie,J05593,Undeveloped,Deposit,20705,0.644,1.0,0,0,0.0,Resource,Inferred,31/08/2021,25.4,28,367.6,231.3,-31.097716,122.555107,Alchemy Resources Ltd,Alchemy Resources Ltd (100.00%); GoldtrIBe Corporation Pty Ltd,1,1
Halfway Hill / Kurnalpi ,Kurnalpi,J03802,Undeveloped,Deposit,20660,0.378,1.7,0,0,0.0,Resource,Inferred,31/05/2017,32.7,25,345.4,248.1,-30.523788,122.202,Kurnalpi Gold Pty Ltd,Kurnalpi Gold Pty Ltd (100.00%),1,1
Silver Tongue,Davyhurst,J00084,Undeveloped,Deposit,20531,0.204,3.13,0,0,0.0,Resource,Inferred,30/06/2021,14.8,30,250.1,274.3,-29.742651,120.577,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,5
Freddo,South Kalgoorlie Operations,J00276,Shut,Mine,20388,0.332,1.91,0,0,0.0,Resource,"Indicated, Inferred",30/06/2015,34.8,15,258.9,162.7,-30.962165,121.38901,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,10
Burbanks North,Burbanks,J00069,Proposed,Mine,20371,0.36,1.76,0,0,0.0,Resource,Inferred,01/07/2019,13.0,15,235.4,146.6,-31.015795,121.149049,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Kidman Resources Limited (Royalties%); Horizon Minerals Limited (100.00%),1,1
Spice,Aldiss - Karonie,J00184,Undeveloped,Deposit,20319,0.432,1.46,0,0,0.0,Resource,"Indicated, Inferred",30/06/2020,29.2,28,368.1,233.9,-31.057435,122.556712,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,2,6
Bellenger,Historic - Menzies (29),J03528,Shut,Mine,20294,0.24,2.63,0,0,0.0,Resource,Indicated,08/03/2016,11.0,29,284.5,280.6,-29.729317,121.03831,,,1,1
Boundary,Coolgardie,J00014,Shut,Mine,20030,0.178,3.5,0,0,0.0,Resource,Inferred,30/04/2003,17.0,15,240.9,152.0,-30.983386,121.201708,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,2
Gordons Dam,Gordons Project,J05485,Undeveloped,Deposit,19950,0.365,1.7,0,0,0.0,Resource,Inferred,06/04/2023,47.6,25,288.5,222.4,-30.420924,121.539519,Moho Resources Limited,Moho Resources Limited; Horizon Minerals Limited (100.00%); PVW Resources Limited (Royalties%),1,1
